Epoch: 160 | tr_loss: 837.7682 | val_loss: 849.7963 | lr: 2.00e-04
Epoch: 161 | tr_loss: 837.8078 | val_loss: 854.0134 | lr: 1.98e-04
Epoch: 162 | tr_loss: 838.0870 | val_loss: 846.7172 | lr: 1.96e-04
Epoch: 163 | tr_loss: 834.1908 | val_loss: 846.4827 | lr: 1.94e-04
Epoch: 164 | tr_loss: 833.6399 | val_loss: 845.2394 | lr: 1.92e-04
Epoch: 165 | tr_loss: 834.1034 | val_loss: 846.0870 | lr: 1.90e-04
Epoch: 166 | tr_loss: 832.4308 | val_loss: 856.1662 | lr: 1.89e-04
Epoch: 167 | tr_loss: 833.3519 | val_loss: 851.5369 | lr: 1.87e-04
Epoch: 168 | tr_loss: 833.6802 | val_loss: 849.5902 | lr: 1.85e-04
Epoch: 169 | tr_loss: 834.6076 | val_loss: 858.7768 | lr: 1.83e-04
Epoch: 170 | tr_loss: 830.4246 | val_loss: 856.9098 | lr: 1.81e-04
Epoch: 171 | tr_loss: 837.3903 | val_loss: 867.8326 | lr: 1.79e-04
Epoch: 172 | tr_loss: 831.1855 | val_loss: 856.3396 | lr: 1.78e-04
Epoch: 173 | tr_loss: 832.9286 | val_loss: 864.2489 | lr: 1.76e-04
Epoch: 174 | tr_loss: 830.2460 | val_loss: 851.7290 | lr: 1.74e-04
Epoch: 175 | tr_loss: 831.1949 | val_loss: 862.1104 | lr: 1.72e-04
Epoch: 176 | tr_loss: 832.7655 | val_loss: 850.4206 | lr: 1.71e-04
Epoch: 177 | tr_loss: 831.2559 | val_loss: 862.0668 | lr: 1.69e-04
Epoch: 178 | tr_loss: 832.7370 | val_loss: 846.4691 | lr: 1.67e-04
Epoch: 179 | tr_loss: 834.0477 | val_loss: 855.5201 | lr: 1.65e-04
Epoch: 180 | tr_loss: 834.4468 | val_loss: 850.3323 | lr: 1.64e-04
Epoch: 181 | tr_loss: 833.6647 | val_loss: 841.8942 | lr: 1.62e-04
Epoch: 182 | tr_loss: 838.1289 | val_loss: 843.6679 | lr: 1.61e-04
Epoch: 183 | tr_loss: 834.4449 | val_loss: 848.0010 | lr: 1.59e-04
Epoch: 184 | tr_loss: 834.4096 | val_loss: 853.1950 | lr: 1.57e-04
Epoch: 185 | tr_loss: 834.7595 | val_loss: 849.0791 | lr: 1.56e-04
Epoch: 186 | tr_loss: 834.0652 | val_loss: 855.6862 | lr: 1.54e-04
Epoch: 187 | tr_loss: 832.9209 | val_loss: 854.1677 | lr: 1.53e-04
Epoch: 188 | tr_loss: 834.4511 | val_loss: 848.4842 | lr: 1.51e-04
Epoch: 189 | tr_loss: 835.2866 | val_loss: 864.8933 | lr: 1.50e-04
Epoch: 190 | tr_loss: 828.1257 | val_loss: 859.8735 | lr: 1.48e-04
Epoch: 191 | tr_loss: 833.8454 | val_loss: 860.9922 | lr: 1.47e-04
Epoch: 192 | tr_loss: 834.2051 | val_loss: 859.4743 | lr: 1.45e-04
Epoch: 193 | tr_loss: 833.5334 | val_loss: 844.0371 | lr: 1.44e-04
Epoch: 194 | tr_loss: 836.2530 | val_loss: 856.9233 | lr: 1.42e-04
Epoch: 195 | tr_loss: 831.1788 | val_loss: 855.6278 | lr: 1.41e-04
Epoch: 196 | tr_loss: 830.9630 | val_loss: 850.3320 | lr: 1.39e-04
Epoch: 197 | tr_loss: 836.1436 | val_loss: 846.9384 | lr: 1.38e-04
Epoch: 198 | tr_loss: 836.8046 | val_loss: 852.7165 | lr: 1.37e-04
Epoch: 199 | tr_loss: 832.7079 | val_loss: 843.4087 | lr: 1.35e-04
Epoch: 200 | tr_loss: 833.1001 | val_loss: 857.4148 | lr: 1.34e-04
Epoch: 201 | tr_loss: 834.3299 | val_loss: 857.8858 | lr: 1.33e-04
Epoch: 202 | tr_loss: 834.2924 | val_loss: 859.9504 | lr: 1.31e-04
Epoch: 203 | tr_loss: 830.3967 | val_loss: 847.9436 | lr: 1.30e-04
Epoch: 204 | tr_loss: 832.8102 | val_loss: 853.6159 | lr: 1.29e-04
Epoch: 205 | tr_loss: 831.5501 | val_loss: 857.2213 | lr: 1.27e-04
Epoch: 206 | tr_loss: 836.3642 | val_loss: 854.3812 | lr: 1.26e-04
Epoch: 207 | tr_loss: 833.5184 | val_loss: 851.7513 | lr: 1.25e-04
Epoch: 208 | tr_loss: 831.0339 | val_loss: 845.6149 | lr: 1.24e-04
Epoch: 209 | tr_loss: 833.4445 | val_loss: 854.8667 | lr: 1.22e-04
Epoch: 210 | tr_loss: 837.0788 | val_loss: 851.8765 | lr: 1.21e-04
Epoch: 211 | tr_loss: 835.4386 | val_loss: 849.9935 | lr: 1.20e-04
Epoch: 212 | tr_loss: 833.0474 | val_loss: 857.5038 | lr: 1.19e-04
Epoch: 213 | tr_loss: 835.3445 | val_loss: 862.7211 | lr: 1.18e-04
Epoch: 214 | tr_loss: 837.5082 | val_loss: 841.0550 | lr: 1.16e-04
Epoch: 215 | tr_loss: 831.7473 | val_loss: 857.0192 | lr: 1.15e-04
Epoch: 216 | tr_loss: 831.3230 | val_loss: 856.4149 | lr: 1.14e-04
Epoch: 217 | tr_loss: 833.5387 | val_loss: 854.8538 | lr: 1.13e-04
Epoch: 218 | tr_loss: 831.3865 | val_loss: 861.2130 | lr: 1.12e-04
Epoch: 219 | tr_loss: 831.9760 | val_loss: 852.2640 | lr: 1.11e-04
Epoch: 220 | tr_loss: 832.7552 | val_loss: 854.8737 | lr: 1.10e-04
Epoch: 221 | tr_loss: 830.2950 | val_loss: 851.6753 | lr: 1.08e-04
Epoch: 222 | tr_loss: 831.4341 | val_loss: 862.6118 | lr: 1.07e-04
Epoch: 223 | tr_loss: 831.2007 | val_loss: 861.3402 | lr: 1.06e-04
Epoch: 224 | tr_loss: 832.9882 | val_loss: 859.6523 | lr: 1.05e-04
Epoch: 225 | tr_loss: 836.0453 | val_loss: 858.9003 | lr: 1.04e-04
Epoch: 226 | tr_loss: 835.0886 | val_loss: 852.9790 | lr: 1.03e-04
Epoch: 227 | tr_loss: 833.2086 | val_loss: 847.5172 | lr: 1.02e-04
Epoch: 228 | tr_loss: 832.8288 | val_loss: 848.6194 | lr: 1.01e-04
Epoch: 229 | tr_loss: 835.3171 | val_loss: 862.4650 | lr: 1.00e-04
Epoch: 230 | tr_loss: 829.5527 | val_loss: 861.5991 | lr: 9.91e-05
Epoch: 231 | tr_loss: 827.6420 | val_loss: 855.2800 | lr: 9.81e-05
Epoch: 232 | tr_loss: 832.2816 | val_loss: 854.7926 | lr: 9.71e-05
Epoch: 233 | tr_loss: 834.7504 | val_loss: 848.9091 | lr: 9.62e-05
Epoch: 234 | tr_loss: 834.9494 | val_loss: 855.3611 | lr: 9.52e-05
Epoch: 235 | tr_loss: 833.8594 | val_loss: 858.2134 | lr: 9.42e-05
Epoch: 236 | tr_loss: 838.7876 | val_loss: 860.7296 | lr: 9.33e-05
Epoch: 237 | tr_loss: 832.9489 | val_loss: 866.6921 | lr: 9.24e-05
Epoch: 238 | tr_loss: 832.8368 | val_loss: 850.5021 | lr: 9.14e-05
Epoch: 239 | tr_loss: 834.4204 | val_loss: 859.8130 | lr: 9.05e-05
Epoch: 240 | tr_loss: 832.1740 | val_loss: 853.0370 | lr: 8.96e-05
Epoch: 241 | tr_loss: 834.4072 | val_loss: 850.9871 | lr: 8.87e-05
Epoch: 242 | tr_loss: 829.5230 | val_loss: 850.4698 | lr: 8.78e-05
Epoch: 243 | tr_loss: 832.5947 | val_loss: 861.1712 | lr: 8.70e-05
Epoch: 244 | tr_loss: 832.6207 | val_loss: 840.3567 | lr: 8.61e-05
Epoch: 245 | tr_loss: 834.9359 | val_loss: 858.4389 | lr: 8.52e-05
Epoch: 246 | tr_loss: 834.5585 | val_loss: 855.9302 | lr: 8.44e-05
Epoch: 247 | tr_loss: 834.6065 | val_loss: 847.3157 | lr: 8.35e-05
Epoch: 248 | tr_loss: 831.2212 | val_loss: 846.3713 | lr: 8.27e-05
Epoch: 249 | tr_loss: 831.9778 | val_loss: 857.1191 | lr: 8.19e-05
Epoch: 250 | tr_loss: 829.8504 | val_loss: 870.0262 | lr: 8.11e-05
Epoch: 251 | tr_loss: 837.4201 | val_loss: 849.4289 | lr: 8.02e-05
Epoch: 252 | tr_loss: 831.2557 | val_loss: 850.7855 | lr: 7.94e-05
Epoch: 253 | tr_loss: 831.3471 | val_loss: 848.7453 | lr: 7.87e-05
Epoch: 254 | tr_loss: 834.7360 | val_loss: 861.6923 | lr: 7.79e-05
Epoch: 255 | tr_loss: 833.5858 | val_loss: 846.0172 | lr: 7.71e-05
Epoch: 256 | tr_loss: 832.4667 | val_loss: 844.8320 | lr: 7.63e-05
Epoch: 257 | tr_loss: 834.3270 | val_loss: 854.9198 | lr: 7.56e-05
Epoch: 258 | tr_loss: 835.0707 | val_loss: 861.6064 | lr: 7.48e-05
Epoch: 259 | tr_loss: 834.7915 | val_loss: 858.7451 | lr: 7.40e-05
Epoch: 260 | tr_loss: 830.6297 | val_loss: 847.9527 | lr: 7.33e-05
Epoch: 261 | tr_loss: 830.1081 | val_loss: 853.3099 | lr: 7.26e-05
Epoch: 262 | tr_loss: 829.4974 | val_loss: 850.1598 | lr: 7.18e-05
Epoch: 263 | tr_loss: 834.8728 | val_loss: 846.9817 | lr: 7.11e-05
Epoch: 264 | tr_loss: 834.7278 | val_loss: 847.1125 | lr: 7.04e-05
Epoch: 265 | tr_loss: 833.9058 | val_loss: 854.7030 | lr: 6.97e-05
Epoch: 266 | tr_loss: 831.5458 | val_loss: 852.2864 | lr: 6.90e-05
Epoch: 267 | tr_loss: 833.5041 | val_loss: 856.9361 | lr: 6.83e-05
Epoch: 268 | tr_loss: 836.4869 | val_loss: 858.5560 | lr: 6.76e-05
Epoch: 269 | tr_loss: 830.3304 | val_loss: 853.3018 | lr: 6.70e-05
Epoch: 270 | tr_loss: 832.3672 | val_loss: 849.7145 | lr: 6.63e-05
Epoch: 271 | tr_loss: 833.9367 | val_loss: 848.6597 | lr: 6.56e-05
Epoch: 272 | tr_loss: 830.9610 | val_loss: 847.7749 | lr: 6.50e-05
Epoch: 273 | tr_loss: 833.4361 | val_loss: 861.0060 | lr: 6.43e-05
Epoch: 274 | tr_loss: 831.1712 | val_loss: 843.3659 | lr: 6.37e-05
Epoch: 275 | tr_loss: 833.5898 | val_loss: 858.6713 | lr: 6.30e-05
Epoch: 276 | tr_loss: 832.7701 | val_loss: 850.3285 | lr: 6.24e-05
Epoch: 277 | tr_loss: 833.0660 | val_loss: 856.8741 | lr: 6.18e-05
Epoch: 278 | tr_loss: 829.0417 | val_loss: 855.9667 | lr: 6.12e-05
Epoch: 279 | tr_loss: 832.8556 | val_loss: 848.8132 | lr: 6.06e-05
Epoch: 280 | tr_loss: 834.7213 | val_loss: 854.3367 | lr: 6.00e-05
Epoch: 281 | tr_loss: 831.4138 | val_loss: 854.8821 | lr: 5.94e-05
Epoch: 282 | tr_loss: 832.2069 | val_loss: 854.4183 | lr: 5.88e-05
Epoch: 283 | tr_loss: 832.7952 | val_loss: 855.0526 | lr: 5.82e-05
Epoch: 284 | tr_loss: 834.2251 | val_loss: 860.4808 | lr: 5.76e-05
Epoch: 285 | tr_loss: 833.8491 | val_loss: 838.1586 | lr: 5.70e-05
